food_id,name,old_url,new_url,category,reason,source,evidence
"","バーベキューポーク・ブリトーセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","照り焼きチキン ピッツァ・デニッシュセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","マリオ・バーガー ~ベーコン&チーズ~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","黒閃! チキンピザブレッド ~旨辛ガーリック~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","アイスクリーム スチュアート・バケツ スプーン","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","アンガス・エイジングステーキ","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","シュタルクのショコラ&ラズベリーケーキ","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","BBQ ポークリブ&フライドチキン・プレート","","","B","同一food IDのimages配列に存在する別画像URLでHTTP 200 imageを確認。","same-food-images-array","https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-bbq-pork-ribs-and-fried-chicken-meal-spring-2026-gallery-b.jpg"
"","ピッツァ・デニッシュセット ~照り焼きチキン~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","呪術高専のグレープフルーツ・レモネード(アイス/ホット)","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","蝶ネクタイ型サンドウィッチ ボックス","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","カレー・キッズセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","チリコンカンビーンズ・ブリトーセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ハローキティ・チュリトス ~いちごミルク~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","DK クラッシュサンデー ~トロピカルバナナ・フレーバー~ マグカップ付き","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","スタジオ・スターズ BLT バーガー・プレート","","","B","同一food IDのimages配列に存在する別画像URLでHTTP 200 imageを確認。","same-food-images-array","https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-studio-stars-blt-burger-meal-spring-2026-gallery-b.jpg"
"","ハンバーガー・キッズセット(マリオのピック付)","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","アイスクリームフロート","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ミートボール・ピッツァ 25周年コースターセット","","","B","同一food IDのimages配列に存在する別画像URLでHTTP 200 imageを確認。","same-food-images-array","https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-meatball-pizza-meal-and-25th-anniversary-coaster-spring-2026-gallery-b.jpg"
"","ミニオン・キッズセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ハローキティ・ドリンクカップ","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","マリオカート・ポップコーンバケツ","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","フルーツサングリアティー&シェリービネガー(アイス/ホット)","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","スタジオ・スターズ・キッズセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","パワーアップ! ルイージのマスカットソーダ","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","スタジオ・スターズ・キッズセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","憧れの大悪党? ボブ・ドリンクボトル","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","25周年アニバーサリー・ドリンクカップ","","","B","同一food IDのimages配列に存在する別画像URLでHTTP 200 imageを確認。","same-food-images-array","https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-25th-anniversary-drink-cup-spring-2026-gallery-b.jpg"
"","ジュラシック・パーク・ドリンクボトル","","","B","同一food IDのimages配列に存在する別画像URLでHTTP 200 imageを確認。","same-food-images-array","https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-jurassic-park-drink-bottle-2026-gallery-a.jpg"
"","ミニオン・クッキーサンド バナナアイス&フルーツ","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","シェアカクテル ~スパークリング・サングリア~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","スパイシーシュリンプ・ブリトーセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","カレー・キッズセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ホッグズ・ヘッド・ビール ~マグカップ付~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","チキン&アボカド・ブリトーセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","バタービール™ ～プレミアムマグカップ付き～（ノンアルコール）","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","バタービール™ ～マグカップ付き～（ノンアルコール）","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ヒンメルのオムレツプレート","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ウッドストックのふんわりケーキ ~レモン&リンゴ~","","","B","同一food IDのimages配列に存在する別画像URLでHTTP 200 imageを確認。","same-food-images-array","https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-woodstocks-fluffy-cake-lemon-and-apple-spring-2026-gallery-a.jpg"
"","大悪党のためのドーナツ・バーガー ~BBQ ポーク&ベーコン~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","虚式「茈」 チュリトス ~ミックスベリー味~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ターキーレッグ","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","DK クラッシュサンデー ~トロピカルバナナ・フレーバー~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","無敵! スーパースター・パンケーキサンド ~マンゴー~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","クラムチャウダーグラタン・プレート","","","B","同一food IDのimages配列に存在する別画像URLでHTTP 200 imageを確認。","same-food-images-array","https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-clam-chowder-gratin-meal-spring-2026-gallery-b.jpg"
"","決めろ!! 黒閃チュリトス ~パッションフルーツ・フレーバー~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","たのしい旅の宝箱 キッズセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","アミティ・キッズ・セット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","フリーレンのビーフプレート ~赤ワイン香るデミグラスソース~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
